Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100886398;"Profile: Issues in Teachers' Professional Development";journal;"16570790, 22565760";0,454;Q1;6;31;79;1326;101;73;0,92;42,77;Colombia;Latin America;"Universidad Nacional de Colombia";"2018-2021";"Linguistics and Language (Q1); Education (Q2)"
2;19700188499;"Suma Psicologica";journal;"21459797, 01214381";0,413;Q3;13;16;48;719;80;48;1,44;44,94;Colombia;Latin America;"Konrad Lorenz Fundacion Universitaria";"2010-2021";"Psychology (miscellaneous) (Q3)"
3;99288;"Colombia Medica";journal;"16579534, 01208322";0,383;Q3;20;38;118;1178;181;99;1,38;31,00;Colombia;Latin America;"Facultad de Salud de la Universidad del Valle";"1946, 1990, 1996-2002, 2004-2021";"Medicine (miscellaneous) (Q3)"
4;21100407145;"Investigacion y Educacion en Enfermeria";journal;"22160280, 01205307";0,378;Q2;12;44;105;1011;157;95;1,42;22,98;Colombia;Latin America;"Facultad de Enfermeria de la Universidad de Antioquia";"2014-2021";"Community and Home Care (Q2); Maternity and Midwifery (Q2); Nursing (miscellaneous) (Q2); Family Practice (Q3); Geriatrics and Gerontology (Q3); Health (social science) (Q3)"
5;5600155211;"Historia Critica";journal;"01211617";0,350;Q1;9;24;75;1332;43;74;0,41;55,50;Colombia;Latin America;"Universidad de los Andes";"2002-2021";"Cultural Studies (Q1); History (Q1); Geography, Planning and Development (Q2); Social Sciences (miscellaneous) (Q2)"
6;5800169849;"Colombia Internacional";journal;"01215612";0,332;Q1;9;25;88;1374;69;88;0,66;54,96;Colombia;Latin America;"Universidad de los Andes";"2011-2021";"History (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
7;14730;"Revista Latinoamericana de Psicologia";journal;"01200534";0,313;Q2;30;17;66;909;84;66;1,00;53,47;Colombia;Latin America;"Konrad Lorenz Editores";"1980, 1984, 1992, 1996-2020";"Social Sciences (miscellaneous) (Q2); Psychology (miscellaneous) (Q3)"
8;21100432126;"Revista Derecho del Estado";journal;"23462051, 01229893";0,299;Q2;4;24;105;756;37;104;0,36;31,50;Colombia;Latin America;"Universidad Externado de Colombia";"2015-2021";"Law (Q2)"
9;21100215170;"Palabra Clave";journal;"01228285";0,286;Q2;12;25;132;1125;86;128;0,52;45,00;Colombia;Latin America;"Universidad de La Sabana";"2012-2021";"Arts and Humanities (miscellaneous) (Q2); Communication (Q2)"
10;21100200401;"International Journal of Psychological Research";journal;"20117922, 20112084";0,283;Q3;14;19;55;1020;62;50;1,08;53,68;Colombia;Latin America;"Universidad de San Buenaventura";"2011-2021";"Psychology (miscellaneous) (Q3)"
