Rank;Sourceid;Title;Issn;SJR Best Quartile;H index;Total Docs. (2021);Country;Publisher;Coverage;Categories
1;21100886398;Profile: Issues in Teachers' Professional Development;16570790, 22565760;Q1;6;31;Colombia;Universidad Nacional de Colombia;2018-2021;"Linguistics and Language (Q1); Education (Q2)"
2;19700188499;Suma Psicologica;21459797, 01214381;Q3;13;16;Colombia;Konrad Lorenz Fundacion Universitaria;2010-2021;Psychology (miscellaneous) (Q3)
3;99288;Colombia Medica;16579534, 01208322;Q3;20;38;Colombia;Facultad de Salud de la Universidad del Valle;1946, 1990, 1996-2002, 2004-2021;Medicine (miscellaneous) (Q3)
4;21100407145;Investigacion y Educacion en Enfermeria;22160280, 01205307;Q2;12;44;Colombia;Facultad de Enfermeria de la Universidad de Antioquia;2014-2021;"Community and Home Care (Q2); Maternity and Midwifery (Q2); Nursing (miscellaneous) (Q2); Family Practice (Q3); Geriatrics and Gerontology (Q3); Health (social science) (Q3)"
5;5600155211;Historia Critica;1211617;Q1;9;24;Colombia;Universidad de los Andes;2002-2021;"Cultural Studies (Q1); History (Q1); Geography, Planning and Development (Q2); Social Sciences (miscellaneous) (Q2)"
6;5800169849;Colombia Internacional;1215612;Q1;9;25;Colombia;Universidad de los Andes;2011-2021;"History (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
7;14730;Revista Latinoamericana de Psicologia;1200534;Q2;30;17;Colombia;Konrad Lorenz Editores;1980, 1984, 1992, 1996-2020;"Social Sciences (miscellaneous) (Q2); Psychology (miscellaneous) (Q3)"
8;21100432126;Revista Derecho del Estado;23462051, 01229893;Q2;4;24;Colombia;Universidad Externado de Colombia;2015-2021;Law (Q2)
9;21100215170;Palabra Clave;1228285;Q2;12;25;Colombia;Universidad de La Sabana;2012-2021;"Arts and Humanities (miscellaneous) (Q2); Communication (Q2)"
10;21100200401;International Journal of Psychological Research;20117922, 20112084;Q3;14;19;Colombia;Universidad de San Buenaventura;2011-2021;Psychology (miscellaneous) (Q3)
11;21100244898;Antipoda;19005407, 20114273;Q1;7;36;Colombia;Universidad de los Andes;2013-2021;"Cultural Studies (Q1); Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2)"
12;21100200415;Revista Colombiana de Psicologia;1215469;Q2;11;16;Colombia;Universidad Nacional de Colombia;2011-2021;"Social Sciences (miscellaneous) (Q2); Psychology (miscellaneous) (Q3)"
13;21100820898;Tropical Grasslands - Forrajes Tropicales;23463775;Q3;15;42;Colombia;Centro Internacional de Agricultura Tropical (CIAT);2013-2021;"Agronomy and Crop Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
14;79866;Livestock Research for Rural Development;1213784;Q3;33;158;Colombia;Centro para la Investigacion en Sistemas Sostenibles de Produccion Agropecuaria;1996-2021;Animal Science and Zoology (Q3)
15;7000153282;Earth Sciences Research Journal;17946190;Q3;16;35;Colombia;Universidad Nacional de Colombia;2007-2021;Earth and Planetary Sciences (miscellaneous) (Q3)
16;20000195049;Magis;20271174, 20271182;Q3;10;16;Colombia;Pontificia Universidad Javeriana;2008-2021;Education (Q3)
17;21100332207;Revista Colombiana de Matematicas;00347426, 23574100;Q4;6;13;Colombia;Universidad Nacional de Colombia;2014-2020;Mathematics (miscellaneous) (Q4)
18;12100157018;Cuadernos de Economia (Colombia);22484337, 01214772;Q2;9;43;Colombia;Universidad Nacional de Colombia;2007-2021;"Arts and Humanities (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)"
19;77291;Biomedica;1204157;Q3;30;88;Colombia;Instituto Nacional de Salud;2001-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q4)"
20;19700170481;Bitacora Urbano Territorial;01247913, 2027145X;Q2;7;58;Colombia;Universidad Nacional de Colombia;2009-2021;"Arts and Humanities (miscellaneous) (Q2); Urban Studies (Q2); Geography, Planning and Development (Q3)"
21;21100217204;Boletin de Geologia;21458553, 01200283;Q3;9;29;Colombia;Universidad Industrial de Santander;2012-2021;Earth and Planetary Sciences (miscellaneous) (Q3)
22;21100432496;Revista de Derecho Privado;01234366, 23462442;Q2;4;14;Colombia;Universidad Externado de Colombia;2015-2021;Law (Q2)
23;21100996939;Revista Cientifica General Jose Maria Cordova;19006586, 25007645;Q2;4;54;Colombia;Escuela Militar de Cadetes;2020-2021;"Law (Q2); Political Science and International Relations (Q3); Safety Research (Q3); Safety, Risk, Reliability and Quality (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Public Administration (Q4)"
24;21100897721;Revista Colombiana de Educacion;23230134, 01203916;Q3;4;47;Colombia;Research Center of Universidad Pedagogica Nacional;2018-2021;Education (Q3)
25;21100798596;Revista Facultad Nacional de Agronomia Medellin;03042847, 22487026;Q3;9;68;Colombia;Universidad Nacional de Colombia;2016-2021;"Agricultural and Biological Sciences (miscellaneous) (Q3); Agronomy and Crop Science (Q3); Food Science (Q3); Forestry (Q3); Horticulture (Q3); Animal Science and Zoology (Q4)"
26;21100244946;Kepes;17947111;Q1;5;22;Colombia;Departamento de Diseno Visual, Universidad de Caldas;2011-2021;Visual Arts and Performing Arts (Q1)
